image_id,filename,image_path,model,prompt_version,label,confidence,brief_reason,status,error,input_tokens,output_tokens,total_tokens,duration_seconds,processed_at_utc,raw_output
10-2,10-2.jpg,images/10-2.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,96,"The image shows three people posing together in a home, with one holding a cat. No visible suffering, assistance, conflict, unfairness, rule violation, or other clear moral issue is present; while the grouping may suggest familial closeness, that alone does not clearly convey a primary moral concern.",success,,3918,131,4049,5.167,2026-08-18T13:43:22.724708+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":96,""brief_reason"":""The image shows three people posing together in a home, with one holding a cat. No visible suffering, assistance, conflict, unfairness, rule violation, or other clear moral issue is present; while the grouping may suggest familial closeness, that alone does not clearly convey a primary moral concern.""}"
11-1,11-1.jpg,images/11-1.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,94,"The image shows a man sitting in a cramped, cluttered interior amid panels and furnishings, possibly doing repair or renovation work. No injury, mistreatment, assistance, rule violation, or other clear moral concern is visibly established; his confined position could suggest discomfort, but not enough to classify as Harm or Care.",success,,3931,153,4084,6.658,2026-08-18T13:43:29.890948+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":94,""brief_reason"":""The image shows a man sitting in a cramped, cluttered interior amid panels and furnishings, possibly doing repair or renovation work. No injury, mistreatment, assistance, rule violation, or other clear moral concern is visibly established; his confined position could suggest discomfort, but not enough to classify as Harm or Care.""}"
11-2,11-2.jpg,images/11-2.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,99,"The image shows a man routinely mowing a well-kept lawn. No visible suffering, assistance, unfairness, rule violation, conflict, or other clear moral concern is present.",success,,1410,67,1477,3.294,2026-08-18T13:43:33.691855+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":99,""brief_reason"":""The image shows a man routinely mowing a well-kept lawn. No visible suffering, assistance, unfairness, rule violation, conflict, or other clear moral concern is present.""}"
12-1,12-1.jpg,images/12-1.jpg,gpt-5.6,v2,Sanctity,78,"The bowed head, closed eyes, hand over the chest, and surrounding raised hands visibly suggest collective prayer or worship, conveying spiritual reverence. The setting could alternatively be an emotionally expressive concert or gathering, so the sacred context is not completely certain.",success,,1796,142,1938,5.151,2026-08-18T13:43:39.350287+00:00,"{""label"":""Sanctity"",""confidence"":78,""brief_reason"":""The bowed head, closed eyes, hand over the chest, and surrounding raised hands visibly suggest collective prayer or worship, conveying spiritual reverence. The setting could alternatively be an emotionally expressive concert or gathering, so the sacred context is not completely certain.""}"
12-2,12-2.jpg,images/12-2.jpg,gpt-5.6,v2,Sanctity,88,"The visible scene shows people kneeling, raising their hands, and appearing emotionally engaged in communal prayer or worship, conveying reverence and spiritual sacredness. Respect / Authority is somewhat plausible because of the orderly religious setting, but no specific authority figure or hierarchy is emphasized.",success,,3870,130,4000,4.674,2026-08-18T13:43:44.527279+00:00,"{""label"":""Sanctity"",""confidence"":88,""brief_reason"":""The visible scene shows people kneeling, raising their hands, and appearing emotionally engaged in communal prayer or worship, conveying reverence and spiritual sacredness. Respect / Authority is somewhat plausible because of the orderly religious setting, but no specific authority figure or hierarchy is emphasized.""}"
12-3,12-3.jpg,images/12-3.jpg,gpt-5.6,v2,Sanctity,78,"The visible church interior, stained-glass windows, pews, and congregants holding books while listening attentively convey participation in a sacred or reverent setting. Respect / Authority is also plausible because of their orderly attention, but the religious environment makes sanctity the stronger theme.",success,,1873,162,2035,6.194,2026-08-18T13:43:51.225593+00:00,"{""label"":""Sanctity"",""confidence"":78,""brief_reason"":""The visible church interior, stained-glass windows, pews, and congregants holding books while listening attentively convey participation in a sacred or reverent setting. Respect / Authority is also plausible because of their orderly attention, but the religious environment makes sanctity the stronger theme.""}"
12-4,12-4.jpg,images/12-4.jpg,gpt-5.6,v2,Sanctity,66,"People sit quietly and solemnly in what appears to be a church or other sacred interior, conveying reverence and dignity. The exact occasion is not visible, so this could also be an ordinary gathering with no clear moral theme; however, the sacred setting and subdued posture make Sanctity the best fit.",success,,1642,168,1810,4.532,2026-08-18T13:43:56.263597+00:00,"{""label"":""Sanctity"",""confidence"":66,""brief_reason"":""People sit quietly and solemnly in what appears to be a church or other sacred interior, conveying reverence and dignity. The exact occasion is not visible, so this could also be an ordinary gathering with no clear moral theme; however, the sacred setting and subdued posture make Sanctity the best fit.""}"
13-1,13-1.jpg,images/13-1.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,92,"The image shows a person standing or moving through a store aisle, with no clearly visible harmful, deceptive, unfair, or otherwise morally significant action. The surveillance-like framing may invite suspicion, but misconduct such as theft cannot be inferred from appearance or posture alone.",success,,3915,122,4037,5.742,2026-08-18T13:44:02.403875+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":92,""brief_reason"":""The image shows a person standing or moving through a store aisle, with no clearly visible harmful, deceptive, unfair, or otherwise morally significant action. The surveillance-like framing may invite suspicion, but misconduct such as theft cannot be inferred from appearance or posture alone.""}"
13-2,13-2.jpg,images/13-2.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,96,"The image shows a hooded person sitting outdoors, with no visible injury, conflict, helping behavior, unfair treatment, or other clearly moral action or condition. The person's turned-away posture may suggest solitude, but interpreting it as suffering or vulnerability would require unsupported assumptions.",success,,3070,123,3193,13.98,2026-08-18T13:44:16.888234+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":96,""brief_reason"":""The image shows a hooded person sitting outdoors, with no visible injury, conflict, helping behavior, unfair treatment, or other clearly moral action or condition. The person's turned-away posture may suggest solitude, but interpreting it as suffering or vulnerability would require unsupported assumptions.""}"
13-3,13-3.jpg,images/13-3.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,88,"A hooded, gloved man is standing beside a car with his hand near the door while looking around, but the image does not visibly establish theft, deception, harm, or other wrongdoing. The pose may appear suspicious, yet classifying it as cheating or subversion would require unsupported assumptions about his intentions or ownership of the vehicle.",success,,3111,166,3277,15.794,2026-08-18T13:44:33.191529+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":88,""brief_reason"":""A hooded, gloved man is standing beside a car with his hand near the door while looking around, but the image does not visibly establish theft, deception, harm, or other wrongdoing. The pose may appear suspicious, yet classifying it as cheating or subversion would require unsupported assumptions about his intentions or ownership of the vehicle.""}"
13-4,13-4.jpg,images/13-4.jpg,gpt-5.6,v2,Cheating,94,"A hooded man in a store is visibly concealing merchandise in his clothing while looking aside, strongly suggesting shoplifting and rule-breaking for unfair gain. The scene may be staged, but its depicted moral meaning is clear.",success,,2569,119,2688,5.624,2026-08-18T13:44:39.318038+00:00,"{""label"":""Cheating"",""confidence"":94,""brief_reason"":""A hooded man in a store is visibly concealing merchandise in his clothing while looking aside, strongly suggesting shoplifting and rule-breaking for unfair gain. The scene may be staged, but its depicted moral meaning is clear.""}"
14-1,14-1.jpg,images/14-1.jpg,gpt-5.6,v2,Degradation,94,"The image visibly shows seated people being publicly humiliated as a crowd pours substances onto them and soils their clothing and bodies. Harm is also plausible, but the dominant visual emphasis is degrading treatment and violation of dignity rather than clear physical injury.",success,,1332,164,1496,7.869,2026-08-18T13:44:47.695258+00:00,"{""label"":""Degradation"",""confidence"":94,""brief_reason"":""The image visibly shows seated people being publicly humiliated as a crowd pours substances onto them and soils their clothing and bodies. Harm is also plausible, but the dominant visual emphasis is degrading treatment and violation of dignity rather than clear physical injury.""}"
14-2,14-2.jpg,images/14-2.jpg,gpt-5.6,v2,Fairness,72,"Two Black men sit at a diner counter without visible service while white staff watch from behind it, visually suggesting unequal access or treatment. The scene itself does not explicitly show a refusal of service, so a non-moral interpretation remains possible, but fairness is the strongest implied concern.",success,,1796,253,2049,6.821,2026-08-18T13:44:55.024945+00:00,"{""label"":""Fairness"",""confidence"":72,""brief_reason"":""Two Black men sit at a diner counter without visible service while white staff watch from behind it, visually suggesting unequal access or treatment. The scene itself does not explicitly show a refusal of service, so a non-moral interpretation remains possible, but fairness is the strongest implied concern.""}"
14-3,14-3.jpg,images/14-3.jpg,gpt-5.6,v2,Fairness,72,"The visibly racially mixed group gathered at a store lunch counter, with several Black youths prominently occupying the counter area, reasonably suggests a scene concerned with equal access and treatment. The classification is somewhat uncertain because no sign, confrontation, or explicit denial of service is visible; without historical context, it could appear to be an ordinary crowded counter.",success,,1500,255,1755,10.399,2026-08-18T13:45:05.928776+00:00,"{""label"":""Fairness"",""confidence"":72,""brief_reason"":""The visibly racially mixed group gathered at a store lunch counter, with several Black youths prominently occupying the counter area, reasonably suggests a scene concerned with equal access and treatment. The classification is somewhat uncertain because no sign, confrontation, or explicit denial of service is visible; without historical context, it could appear to be an ordinary crowded counter.""}"
15-1,15-1.jpg,images/15-1.jpg,gpt-5.6,v2,Respect / Authority,94,"Uniformed military personnel are marching in an orderly public formation behind a flag, visibly emphasizing discipline, hierarchy, institutional ceremony, and social order. Loyalty is also plausible because of the group solidarity, but the formal parade and regimented structure make Respect / Authority primary.",success,,1796,78,1874,3.32,2026-08-18T13:45:09.756735+00:00,"{""label"":""Respect / Authority"",""confidence"":94,""brief_reason"":""Uniformed military personnel are marching in an orderly public formation behind a flag, visibly emphasizing discipline, hierarchy, institutional ceremony, and social order. Loyalty is also plausible because of the group solidarity, but the formal parade and regimented structure make Respect / Authority primary.""}"
15-2,15-2.jpg,images/15-2.jpg,gpt-5.6,v2,None of these / Not clearly moral in nature,62,"The image shows two armed soldiers walking near an adult and a child in a rural setting, but no visible violence, suffering, assistance, coercion, or other clearly moral action. Care or protection is plausible because the soldiers appear to flank the civilians, but their purpose and relationship cannot be established from the scene alone.",success,,2794,222,3016,7.334,2026-08-18T13:45:17.598711+00:00,"{""label"":""None of these / Not clearly moral in nature"",""confidence"":62,""brief_reason"":""The image shows two armed soldiers walking near an adult and a child in a rural setting, but no visible violence, suffering, assistance, coercion, or other clearly moral action. Care or protection is plausible because the soldiers appear to flank the civilians, but their purpose and relationship cannot be established from the scene alone.""}"
15-3,15-3.jpg,images/15-3.jpg,gpt-5.6,v2,Care,88,"A soldier appears to support or guide two visibly bandaged people while a Red Cross worker stands nearby, emphasizing aid and protection of potentially injured individuals. Harm is also plausible because of the bloodied bandages, but no active violence is visible and the scene primarily depicts a response to vulnerability.",success,,3870,153,4023,20.022,2026-08-18T13:45:38.127297+00:00,"{""label"":""Care"",""confidence"":88,""brief_reason"":""A soldier appears to support or guide two visibly bandaged people while a Red Cross worker stands nearby, emphasizing aid and protection of potentially injured individuals. Harm is also plausible because of the bloodied bandages, but no active violence is visible and the scene primarily depicts a response to vulnerability.""}"
15-4,15-4.jpg,images/15-4.jpg,gpt-5.6,v2,Care,68,"A soldier is shown calmly clasping hands with an older civilian in a close, attentive interaction, suggesting reassurance and concern for his welfare. The exact purpose is not visible, so it could instead be a routine or respectful greeting, but no harm or coercion is apparent.",success,,3828,235,4063,7.353,2026-08-18T13:45:45.986309+00:00,"{""label"":""Care"",""confidence"":68,""brief_reason"":""A soldier is shown calmly clasping hands with an older civilian in a close, attentive interaction, suggesting reassurance and concern for his welfare. The exact purpose is not visible, so it could instead be a routine or respectful greeting, but no harm or coercion is apparent.""}"
16-1,16-1.jpg,images/16-1.jpg,gpt-5.6,v2,Care,94,"Two people are shown in a close mutual embrace, with hands placed gently around each other’s head and back, visibly conveying affection, comfort, and emotional support. Their relationship and exact circumstances are unknown, but the caring gesture itself is clear.",success,,1652,117,1769,5.489,2026-08-18T13:45:51.984327+00:00,"{""label"":""Care"",""confidence"":94,""brief_reason"":""Two people are shown in a close mutual embrace, with hands placed gently around each other’s head and back, visibly conveying affection, comfort, and emotional support. Their relationship and exact circumstances are unknown, but the caring gesture itself is clear.""}"
16-2,16-2.jpg,images/16-2.jpg,gpt-5.6,v2,Harm,96,"One man is visibly restraining another with an arm around his neck; the restrained man is grimacing and clutching the arm, indicating pain or distress. The exact context is unknown, but the dominant visible concern is physical harm.",success,,1652,120,1772,5.415,2026-08-18T13:45:57.907015+00:00,"{""label"":""Harm"",""confidence"":96,""brief_reason"":""One man is visibly restraining another with an arm around his neck; the restrained man is grimacing and clutching the arm, indicating pain or distress. The exact context is unknown, but the dominant visible concern is physical harm.""}"
17-1,17-1.jpg,images/17-1.jpg,gpt-5.6,v2,Care,78,"An adult appears to be speaking attentively to a guarded or distressed-looking young person who is clutching a pillow, suggesting concern for the younger person's emotional well-being. The exact nature of the conversation is unclear and could instead be an admonishment, but no visible harm or coercion is evident.",success,,2257,131,2388,25.827,2026-08-18T13:46:24.241034+00:00,"{""label"":""Care"",""confidence"":78,""brief_reason"":""An adult appears to be speaking attentively to a guarded or distressed-looking young person who is clutching a pillow, suggesting concern for the younger person's emotional well-being. The exact nature of the conversation is unclear and could instead be an admonishment, but no visible harm or coercion is evident.""}"
17-2,17-2.jpg,images/17-2.jpg,gpt-5.6,v2,Respect / Authority,64,"An adult appears to be speaking seriously and gesturing while a younger person looks down at a phone with a disengaged posture, suggesting disregard for guidance or a social role. The relationship and context are not explicit, so ordinary interpersonal tension rather than a clear authority issue remains plausible.",success,,2257,184,2441,9.505,2026-08-18T13:46:34.259486+00:00,"{""label"":""Respect / Authority"",""confidence"":64,""brief_reason"":""An adult appears to be speaking seriously and gesturing while a younger person looks down at a phone with a disengaged posture, suggesting disregard for guidance or a social role. The relationship and context are not explicit, so ordinary interpersonal tension rather than a clear authority issue remains plausible.""}"
