model_key,comparison,condition_before,condition_after,image_id,both_cells_complete,expected_endorsement_before,expected_endorsement_after,expected_endorsement_delta,expected_endorsement_direction,mixed_none_removed_expected_before,mixed_none_removed_expected_after,mixed_none_removed_expected_delta,modal_label_before,modal_label_after,modal_label_transition,modal_support_before,modal_support_after,modal_support_delta,plurality_match_before,plurality_match_after,plurality_transition,stability_before,stability_after,stability_delta,mean_confidence_before,mean_confidence_after,mean_confidence_delta
gpt56,p2_minus_p0,p0,p2,2-1,True,0.368421,0.368421,0.0,unchanged,0.368421,0.368421,0.0,Care,Care,Care -> Care,0.368421,0.368421,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,88.0,0.0
gpt56,p2_minus_p0,p0,p2,25-2,True,0.466667,0.466667,0.0,unchanged,0.466667,0.466667,0.0,Fairness,Fairness,Fairness -> Fairness,0.466667,0.466667,0.0,True,True,matched_both,1.0,1.0,0.0,80.666666667,76.0,-4.666666667
gpt56,p2_minus_p0,p0,p2,34-4,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Harm,Harm,Harm -> Harm,0.333333,0.333333,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,88.0,-2.0
gpt56,p2_minus_p0,p0,p2,o-1,True,1.0,1.0,0.0,unchanged,1.0,1.0,0.0,Cheating,Cheating,Cheating -> Cheating,1.0,1.0,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,88.0,0.0
gpt56,p2_minus_p0,p0,p2,16-2,True,0.65,0.65,0.0,unchanged,0.65,0.65,0.0,Harm,Harm,Harm -> Harm,0.65,0.65,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,86.0,-2.0
gpt56,p2_minus_p0,p0,p2,35-3,True,0.111111,0.277777667,0.166666667,improved,0.111111,0.277777667,0.166666667,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.111111,0.111111,0.0,False,False,matched_neither,1.0,0.666666667,-0.333333333,97.0,90.0,-7.0
gpt56,p1_minus_p0,p0,p1,1-1,True,0.8,0.8,0.0,unchanged,0.8,0.8,0.0,Care,Care,Care -> Care,0.8,0.8,0.0,True,True,matched_both,1.0,1.0,0.0,94.666666667,94.0,-0.666666667
gpt56,p1_minus_p0,p0,p1,9-2,True,0.416667,0.25,-0.166667,regressed,0.416667,0.25,-0.166667,Care,None of these / Not clearly moral in nature,Care -> None of these / Not clearly moral in nature,0.416667,0.25,-0.166667,True,False,right_to_wrong,1.0,1.0,0.0,64.0,84.0,20.0
gpt56,p1_minus_p0,p0,p1,7-2,True,0.571429,0.571429,0.0,unchanged,0.571429,0.571429,0.0,Respect / Authority,Respect / Authority,Respect / Authority -> Respect / Authority,0.571429,0.571429,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,84.666666667,-3.333333333
gpt56,p1_minus_p0,p0,p1,37-3,True,0.125,0.125,0.0,unchanged,0.125,0.125,0.0,Care,Care,Care -> Care,0.125,0.125,0.0,False,False,matched_neither,1.0,1.0,0.0,78.0,76.0,-2.0
gpt56,p1_minus_p0,p0,p1,15-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Care,Care,Care -> Care,0.3125,0.3125,0.0,False,False,matched_neither,1.0,1.0,0.0,84.0,80.666666667,-3.333333333
gpt56,p1_minus_p0,p0,p1,g-1,True,0.4,0.4,0.0,unchanged,0.4,0.4,0.0,Fairness,Fairness,Fairness -> Fairness,0.4,0.4,0.0,True,True,matched_both,1.0,1.0,0.0,93.0,93.333333333,0.333333333
gpt56,p1_minus_p0,p0,p1,5-1,True,0.5,0.5,0.0,unchanged,0.5,0.5,0.0,Harm,Harm,Harm -> Harm,0.5,0.5,0.0,True,True,matched_both,1.0,1.0,0.0,91.0,90.0,-1.0
gpt56,p1_minus_p0,p0,p1,3-1,True,0.181818,0.181818,0.0,unchanged,0.181818,0.181818,0.0,Care,Care,Care -> Care,0.181818,0.181818,0.0,False,False,matched_neither,1.0,1.0,0.0,88.0,88.0,0.0
gpt56,p1_minus_p0,p0,p1,o-2,True,0.357143,0.357143,0.0,unchanged,0.357143,0.357143,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.357143,0.357143,0.0,False,False,matched_neither,1.0,1.0,0.0,98.0,98.0,0.0
gpt56,p1_minus_p0,p0,p1,g-2,True,0.545455,0.545455,0.0,unchanged,0.545455,0.545455,0.0,Fairness,Fairness,Fairness -> Fairness,0.545455,0.545455,0.0,True,True,matched_both,1.0,1.0,0.0,98.0,98.0,0.0
gpt56,p1_minus_p0,p0,p1,2-1,True,0.368421,0.368421,0.0,unchanged,0.368421,0.368421,0.0,Care,Care,Care -> Care,0.368421,0.368421,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,88.0,0.0
gpt56,p1_minus_p0,p0,p1,25-2,True,0.466667,0.466667,0.0,unchanged,0.466667,0.466667,0.0,Fairness,Fairness,Fairness -> Fairness,0.466667,0.466667,0.0,True,True,matched_both,1.0,1.0,0.0,80.666666667,80.666666667,0.0
gpt56,p1_minus_p0,p0,p1,34-4,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Harm,Harm,Harm -> Harm,0.333333,0.333333,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt56,p1_minus_p0,p0,p1,o-1,True,1.0,1.0,0.0,unchanged,1.0,1.0,0.0,Cheating,Cheating,Cheating -> Cheating,1.0,1.0,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,88.0,0.0
gpt56,p1_minus_p0,p0,p1,16-2,True,0.65,0.65,0.0,unchanged,0.65,0.65,0.0,Harm,Harm,Harm -> Harm,0.65,0.65,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,86.0,-2.0
gpt56,p1_minus_p0,p0,p1,35-3,True,0.111111,0.111111,0.0,unchanged,0.111111,0.111111,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.111111,0.111111,0.0,False,False,matched_neither,1.0,1.0,0.0,97.0,96.666666667,-0.333333333
gpt56,p2_minus_p1,p1,p2,1-1,True,0.8,0.8,0.0,unchanged,0.8,0.8,0.0,Care,Care,Care -> Care,0.8,0.8,0.0,True,True,matched_both,1.0,1.0,0.0,94.0,90.0,-4.0
gpt56,p2_minus_p1,p1,p2,9-2,True,0.25,0.361111333,0.111111333,improved,0.25,0.361111333,0.111111333,None of these / Not clearly moral in nature,Care,None of these / Not clearly moral in nature -> Care,0.25,0.416667,0.166667,False,True,wrong_to_right,1.0,0.666666667,-0.333333333,84.0,66.0,-18.0
gpt56,p2_minus_p1,p1,p2,7-2,True,0.571429,0.571429,0.0,unchanged,0.571429,0.571429,0.0,Respect / Authority,Respect / Authority,Respect / Authority -> Respect / Authority,0.571429,0.571429,0.0,True,True,matched_both,1.0,1.0,0.0,84.666666667,82.666666667,-2.0
gpt56,p2_minus_p1,p1,p2,37-3,True,0.125,0.125,0.0,unchanged,0.125,0.125,0.0,Care,Care,Care -> Care,0.125,0.125,0.0,False,False,matched_neither,1.0,1.0,0.0,76.0,69.333333333,-6.666666667
gpt56,p2_minus_p1,p1,p2,15-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Care,Care,Care -> Care,0.3125,0.3125,0.0,False,False,matched_neither,1.0,1.0,0.0,80.666666667,78.666666667,-2.0
gpt56,p2_minus_p1,p1,p2,g-1,True,0.4,0.4,0.0,unchanged,0.4,0.4,0.0,Fairness,Fairness,Fairness -> Fairness,0.4,0.4,0.0,True,True,matched_both,1.0,1.0,0.0,93.333333333,89.0,-4.333333333
gpt56,p2_minus_p1,p1,p2,5-1,True,0.5,0.5,0.0,unchanged,0.5,0.5,0.0,Harm,Harm,Harm -> Harm,0.5,0.5,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,88.0,-2.0
gpt56,p2_minus_p1,p1,p2,3-1,True,0.181818,0.181818,0.0,unchanged,0.181818,0.181818,0.0,Care,Care,Care -> Care,0.181818,0.181818,0.0,False,False,matched_neither,1.0,1.0,0.0,88.0,85.333333333,-2.666666667
gpt56,p2_minus_p1,p1,p2,o-2,True,0.357143,0.357143,0.0,unchanged,0.357143,0.357143,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.357143,0.357143,0.0,False,False,matched_neither,1.0,1.0,0.0,98.0,98.0,0.0
gpt56,p2_minus_p1,p1,p2,g-2,True,0.545455,0.545455,0.0,unchanged,0.545455,0.545455,0.0,Fairness,Fairness,Fairness -> Fairness,0.545455,0.545455,0.0,True,True,matched_both,1.0,1.0,0.0,98.0,97.666666667,-0.333333333
gpt56,p2_minus_p1,p1,p2,2-1,True,0.368421,0.368421,0.0,unchanged,0.368421,0.368421,0.0,Care,Care,Care -> Care,0.368421,0.368421,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,88.0,0.0
gpt56,p2_minus_p1,p1,p2,25-2,True,0.466667,0.466667,0.0,unchanged,0.466667,0.466667,0.0,Fairness,Fairness,Fairness -> Fairness,0.466667,0.466667,0.0,True,True,matched_both,1.0,1.0,0.0,80.666666667,76.0,-4.666666667
gpt56,p2_minus_p1,p1,p2,34-4,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Harm,Harm,Harm -> Harm,0.333333,0.333333,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,88.0,-2.0
gpt56,p2_minus_p1,p1,p2,o-1,True,1.0,1.0,0.0,unchanged,1.0,1.0,0.0,Cheating,Cheating,Cheating -> Cheating,1.0,1.0,0.0,True,True,matched_both,1.0,1.0,0.0,88.0,88.0,0.0
gpt56,p2_minus_p1,p1,p2,16-2,True,0.65,0.65,0.0,unchanged,0.65,0.65,0.0,Harm,Harm,Harm -> Harm,0.65,0.65,0.0,True,True,matched_both,1.0,1.0,0.0,86.0,86.0,0.0
gpt56,p2_minus_p1,p1,p2,35-3,True,0.111111,0.277777667,0.166666667,improved,0.111111,0.277777667,0.166666667,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.111111,0.111111,0.0,False,False,matched_neither,1.0,0.666666667,-0.333333333,96.666666667,90.0,-6.666666667
gpt4o,p2_minus_p0,p0,p2,1-1,True,0.8,0.8,0.0,unchanged,0.8,0.8,0.0,Care,Care,Care -> Care,0.8,0.8,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p0,p0,p2,9-2,True,0.416667,0.416667,0.0,unchanged,0.416667,0.416667,0.0,Care,Care,Care -> Care,0.416667,0.416667,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p0,p0,p2,7-2,True,0.571429,0.571429,0.0,unchanged,0.571429,0.571429,0.0,Respect / Authority,Respect / Authority,Respect / Authority -> Respect / Authority,0.571429,0.571429,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p0,p0,p2,37-3,True,0.1875,0.125,-0.0625,regressed,0.1875,0.125,-0.0625,Care,Care,Care -> Care,0.125,0.125,0.0,False,False,matched_neither,0.666666667,1.0,0.333333333,85.0,78.333333333,-6.666666667
gpt4o,p2_minus_p0,p0,p2,15-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Care,Care,Care -> Care,0.3125,0.3125,0.0,False,False,matched_neither,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p0,p0,p2,g-1,True,0.4,0.4,0.0,unchanged,0.4,0.4,0.0,Fairness,Fairness,Fairness -> Fairness,0.4,0.4,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,86.666666667,-3.333333333
gpt4o,p2_minus_p0,p0,p2,5-1,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Care,Care,Care -> Care,0.333333,0.333333,0.0,False,False,matched_neither,1.0,1.0,0.0,90.0,88.333333333,-1.666666667
gpt4o,p2_minus_p0,p0,p2,3-1,True,0.181818,0.181818,0.0,unchanged,0.181818,0.181818,0.0,Care,Care,Care -> Care,0.181818,0.181818,0.0,False,False,matched_neither,1.0,1.0,0.0,90.0,88.333333333,-1.666666667
gpt4o,p2_minus_p0,p0,p2,o-2,True,0.357143,0.357143,0.0,unchanged,0.357143,0.357143,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.357143,0.357143,0.0,False,False,matched_neither,1.0,1.0,0.0,95.0,95.0,0.0
gpt4o,p2_minus_p0,p0,p2,g-2,True,0.545455,0.545455,0.0,unchanged,0.545455,0.545455,0.0,Fairness,Fairness,Fairness -> Fairness,0.545455,0.545455,0.0,True,True,matched_both,1.0,1.0,0.0,95.0,91.666666667,-3.333333333
gpt4o,p2_minus_p0,p0,p2,2-1,True,0.368421,0.368421,0.0,unchanged,0.368421,0.368421,0.0,Care,Care,Care -> Care,0.368421,0.368421,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,85.0,-5.0
gpt4o,p2_minus_p0,p0,p2,25-2,True,0.066667,0.066667,0.0,unchanged,0.066667,0.066667,0.0,Loyalty,Loyalty,Loyalty -> Loyalty,0.066667,0.066667,0.0,False,False,matched_neither,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p0,p0,p2,34-4,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Harm,Harm,Harm -> Harm,0.333333,0.333333,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p0,p0,p2,o-1,True,1.0,1.0,0.0,unchanged,1.0,1.0,0.0,Cheating,Cheating,Cheating -> Cheating,1.0,1.0,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p0,p0,p2,16-2,True,0.65,0.65,0.0,unchanged,0.65,0.65,0.0,Harm,Harm,Harm -> Harm,0.65,0.65,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p0,p0,p2,35-3,True,0.111111,0.111111,0.0,unchanged,0.111111,0.111111,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.111111,0.111111,0.0,False,False,matched_neither,1.0,1.0,0.0,95.0,95.0,0.0
gpt4o,p1_minus_p0,p0,p1,1-1,True,0.8,0.8,0.0,unchanged,0.8,0.8,0.0,Care,Care,Care -> Care,0.8,0.8,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p1_minus_p0,p0,p1,9-2,True,0.416667,0.416667,0.0,unchanged,0.416667,0.416667,0.0,Care,Care,Care -> Care,0.416667,0.416667,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p1_minus_p0,p0,p1,7-2,True,0.571429,0.571429,0.0,unchanged,0.571429,0.571429,0.0,Respect / Authority,Respect / Authority,Respect / Authority -> Respect / Authority,0.571429,0.571429,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p1_minus_p0,p0,p1,37-3,True,0.1875,0.25,0.0625,improved,0.1875,0.25,0.0625,Care,Harm,Care -> Harm,0.125,0.3125,0.1875,False,True,wrong_to_right,0.666666667,0.666666667,0.0,85.0,83.333333333,-1.666666667
gpt4o,p1_minus_p0,p0,p1,15-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Care,Care,Care -> Care,0.3125,0.3125,0.0,False,False,matched_neither,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p1_minus_p0,p0,p1,g-1,True,0.4,0.4,0.0,unchanged,0.4,0.4,0.0,Fairness,Fairness,Fairness -> Fairness,0.4,0.4,0.0,True,True,matched_both,1.0,0.666666667,-0.333333333,90.0,88.333333333,-1.666666667
gpt4o,p1_minus_p0,p0,p1,5-1,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Care,Care,Care -> Care,0.333333,0.333333,0.0,False,False,matched_neither,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p1_minus_p0,p0,p1,3-1,True,0.181818,0.181818,0.0,unchanged,0.181818,0.181818,0.0,Care,Care,Care -> Care,0.181818,0.181818,0.0,False,False,matched_neither,1.0,1.0,0.0,90.0,88.333333333,-1.666666667
gpt4o,p1_minus_p0,p0,p1,o-2,True,0.357143,0.357143,0.0,unchanged,0.357143,0.357143,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.357143,0.357143,0.0,False,False,matched_neither,1.0,1.0,0.0,95.0,95.0,0.0
gpt4o,p1_minus_p0,p0,p1,g-2,True,0.545455,0.545455,0.0,unchanged,0.545455,0.545455,0.0,Fairness,Fairness,Fairness -> Fairness,0.545455,0.545455,0.0,True,True,matched_both,1.0,1.0,0.0,95.0,95.0,0.0
gpt4o,p1_minus_p0,p0,p1,2-1,True,0.368421,0.368421,0.0,unchanged,0.368421,0.368421,0.0,Care,Care,Care -> Care,0.368421,0.368421,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,85.0,-5.0
gpt4o,p1_minus_p0,p0,p1,25-2,True,0.066667,0.066667,0.0,unchanged,0.066667,0.066667,0.0,Loyalty,Loyalty,Loyalty -> Loyalty,0.066667,0.066667,0.0,False,False,matched_neither,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p1_minus_p0,p0,p1,34-4,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Harm,Harm,Harm -> Harm,0.333333,0.333333,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p1_minus_p0,p0,p1,o-1,True,1.0,1.0,0.0,unchanged,1.0,1.0,0.0,Cheating,Cheating,Cheating -> Cheating,1.0,1.0,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p1_minus_p0,p0,p1,16-2,True,0.65,0.65,0.0,unchanged,0.65,0.65,0.0,Harm,Harm,Harm -> Harm,0.65,0.65,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p1_minus_p0,p0,p1,35-3,True,0.111111,0.111111,0.0,unchanged,0.111111,0.111111,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.111111,0.111111,0.0,False,False,matched_neither,1.0,1.0,0.0,95.0,95.0,0.0
gpt4o,p2_minus_p1,p1,p2,1-1,True,0.8,0.8,0.0,unchanged,0.8,0.8,0.0,Care,Care,Care -> Care,0.8,0.8,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p1,p1,p2,9-2,True,0.416667,0.416667,0.0,unchanged,0.416667,0.416667,0.0,Care,Care,Care -> Care,0.416667,0.416667,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p1,p1,p2,7-2,True,0.571429,0.571429,0.0,unchanged,0.571429,0.571429,0.0,Respect / Authority,Respect / Authority,Respect / Authority -> Respect / Authority,0.571429,0.571429,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p1,p1,p2,37-3,True,0.25,0.125,-0.125,regressed,0.25,0.125,-0.125,Harm,Care,Harm -> Care,0.3125,0.125,-0.1875,True,False,right_to_wrong,0.666666667,1.0,0.333333333,83.333333333,78.333333333,-5.0
gpt4o,p2_minus_p1,p1,p2,15-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Care,Care,Care -> Care,0.3125,0.3125,0.0,False,False,matched_neither,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p1,p1,p2,g-1,True,0.4,0.4,0.0,unchanged,0.4,0.4,0.0,Fairness,Fairness,Fairness -> Fairness,0.4,0.4,0.0,True,True,matched_both,0.666666667,1.0,0.333333333,88.333333333,86.666666667,-1.666666667
gpt4o,p2_minus_p1,p1,p2,5-1,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Care,Care,Care -> Care,0.333333,0.333333,0.0,False,False,matched_neither,1.0,1.0,0.0,90.0,88.333333333,-1.666666667
gpt4o,p2_minus_p1,p1,p2,3-1,True,0.181818,0.181818,0.0,unchanged,0.181818,0.181818,0.0,Care,Care,Care -> Care,0.181818,0.181818,0.0,False,False,matched_neither,1.0,1.0,0.0,88.333333333,88.333333333,0.0
gpt4o,p2_minus_p1,p1,p2,o-2,True,0.357143,0.357143,0.0,unchanged,0.357143,0.357143,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.357143,0.357143,0.0,False,False,matched_neither,1.0,1.0,0.0,95.0,95.0,0.0
gpt4o,p2_minus_p1,p1,p2,g-2,True,0.545455,0.545455,0.0,unchanged,0.545455,0.545455,0.0,Fairness,Fairness,Fairness -> Fairness,0.545455,0.545455,0.0,True,True,matched_both,1.0,1.0,0.0,95.0,91.666666667,-3.333333333
gpt4o,p2_minus_p1,p1,p2,2-1,True,0.368421,0.368421,0.0,unchanged,0.368421,0.368421,0.0,Care,Care,Care -> Care,0.368421,0.368421,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p1,p1,p2,25-2,True,0.066667,0.066667,0.0,unchanged,0.066667,0.066667,0.0,Loyalty,Loyalty,Loyalty -> Loyalty,0.066667,0.066667,0.0,False,False,matched_neither,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p1,p1,p2,34-4,True,0.333333,0.333333,0.0,unchanged,0.333333,0.333333,0.0,Harm,Harm,Harm -> Harm,0.333333,0.333333,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p1,p1,p2,o-1,True,1.0,1.0,0.0,unchanged,1.0,1.0,0.0,Cheating,Cheating,Cheating -> Cheating,1.0,1.0,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
gpt4o,p2_minus_p1,p1,p2,16-2,True,0.65,0.65,0.0,unchanged,0.65,0.65,0.0,Harm,Harm,Harm -> Harm,0.65,0.65,0.0,True,True,matched_both,1.0,1.0,0.0,90.0,90.0,0.0
gpt4o,p2_minus_p1,p1,p2,35-3,True,0.111111,0.111111,0.0,unchanged,0.111111,0.111111,0.0,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature,None of these / Not clearly moral in nature -> None of these / Not clearly moral in nature,0.111111,0.111111,0.0,False,False,matched_neither,1.0,1.0,0.0,95.0,95.0,0.0
qwen36,p2_minus_p0,p0,p2,1-1,True,0.8,0.8,0.0,unchanged,0.8,0.8,0.0,Care,Care,Care -> Care,0.8,0.8,0.0,True,True,matched_both,1.0,1.0,0.0,95.0,95.0,0.0
qwen36,p2_minus_p0,p0,p2,9-2,True,0.416667,0.416667,0.0,unchanged,0.416667,0.416667,0.0,Care,Care,Care -> Care,0.416667,0.416667,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,75.0,-10.0
qwen36,p2_minus_p0,p0,p2,7-2,True,0.571429,0.571429,0.0,unchanged,0.571429,0.571429,0.0,Respect / Authority,Respect / Authority,Respect / Authority -> Respect / Authority,0.571429,0.571429,0.0,True,True,matched_both,1.0,1.0,0.0,95.0,91.666666667,-3.333333333
qwen36,p2_minus_p0,p0,p2,37-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Harm,Harm,Harm -> Harm,0.3125,0.3125,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
qwen36,p2_minus_p0,p0,p2,15-3,True,0.3125,0.3125,0.0,unchanged,0.3125,0.3125,0.0,Care,Care,Care -> Care,0.3125,0.3125,0.0,False,False,matched_neither,1.0,1.0,0.0,85.0,85.0,0.0
qwen36,p2_minus_p0,p0,p2,g-1,True,0.4,0.4,0.0,unchanged,0.4,0.4,0.0,Fairness,Fairness,Fairness -> Fairness,0.4,0.4,0.0,True,True,matched_both,1.0,1.0,0.0,85.0,85.0,0.0
qwen36,p2_minus_p0,p0,p2,5-1,True,0.5,0.5,0.0,unchanged,0.5,0.5,0.0,Harm,Harm,Harm -> Harm,0.5,0.5,0.0,True,True,matched_both,1.0,1.0,0.0,95.0,95.0,0.0
